cmpdname,isosmiles
Isoclavulanic acid,C1[C@@H]2N(C1=O)[C@H](/C(=C\\CO)/O2)C(=O)O
14-Dihydroxycornestin,CCC[C@H]1[C@@H](C(=O)C[C@@H](/C(=C\\C)/CC2=C1C(=O)OC2=O)O)O
"ethyl (2E,4Z)-deca-2,4-dienoate",CCCCC/C=C\\C=C\\C(=O)OCC
cis-3-Hexen-1-ol,CC/C=C\\CCO
2-Hexenal,CCC/C=C/C=O
Pinolidoxin,CCCC1C(C(/C=C/CCC(C(=O)O1)OC(=O)/C=C/C=C/C)O)O
Isocaryophyllene,C/C/1=C/CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
beta-Sinensal,C/C(=C\\CCC(=C)C=C)/CC/C=C(\\C)/C=O
beta-Ocimene,CC(=CC/C=C(\\C)/C=C)C
Chlorflavonin,COC1=C(C2=C(C(=C1)O)C(=O)C(=C(O2)C3=C(C(=CC=C3)Cl)O)OC)OC
Datiscetin,C1=CC=C(C(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
Fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
Morin,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
Nigrifactin,C/C=C/C=C/C=C/C1=NCCCC1
Daidzein,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
Ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
Gibberellin A9,C[C@@]12CCC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)OC2=O
10-Deoxymethymycin,CC[C@@H]1[C@@H](/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)C)C
Neomethymycin,C[C@H]1C[C@H](C(=O)/C=C/[C@H]([C@H](OC(=O)[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)[C@@H](C)O)C)C
Methymycin,CC[C@@H]1[C@@](/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)C)(C)O
alpha-Ionone,CC1=CCCC(C1/C=C/C(=O)C)(C)C
Geranyl formate,CC(=CCC/C(=C/COC=O)/C)C
Cinnamyl acetate,CC(=O)OC/C=C/C1=CC=CC=C1
Kinobscurinone,CC1=CC2=C(C(=C1)O)C3=C(C2=O)C(=O)C4=C(C3=O)C=CC=C4O
"2-Anthraceneacetic acid, 9,10-dihydro-4,5-dihydroxy-3-(1-hydroxy-3-oxo-1-pentenyl)-9,10-dioxo-",CCC(=O)/C=C(/C1=C(C2=C(C=C1CC(=O)O)C(=O)C3=C(C2=O)C(=CC=C3)O)O)\\O
2-Decenoic acid,CCCCCCC/C=C/C(=O)O
"10,11-epoxy-chlorovulone I",CCCCC/C=C\\C[C@]\\1([C@H]2[C@](O2)(C(=O)/C1=C/C=C\\CCCC(=O)OC)Cl)O
"1,3-Dihydroxy-8-decen-5-one",C/C=C/CCC(=O)C[C@H](CCO)O
2-Nonenal,CCCCCC/C=C/C=O
"2-Nonene-4,6,8-triynal",C#CC#CC#C/C=C/C=O
"2,4-Decadienal",CCCCC/C=C/C=C/C=O
2-Dodecenal,CCCCCCCCC/C=C/C=O
"7alpha,12alpha-Dihydroxy-3-oxochola-1,4-dien-24-oic Acid",C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4=CC(=O)C=C[C@]34C)O)O)C
"5,6-Dimethoxysterigmatocystin",COC1=C(C2=C(C(=C1)O)C(=O)C3=C(C=C4C(=C3O2)C5C=COC5O4)OC)OC
"L-Leucinamide, N-acetyl-L-leucyl-N-[4-[(aminoiminomethyl)amino]-1-formylbutyl]-",CC(C)C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C
Nerolidol,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C
Pyochelin,CN1[C@@H](CS[C@@H]1[C@H]2CSC(=N2)C3=CC=CC=C3O)C(=O)O
"Amino({3-[(3s,8as)-1,4-Dioxooctahydropyrrolo[1,2-A]pyrazin-3-Yl]propyl}amino)methaniminium",C1C[C@@H]2C(=O)N[C@H](C(=O)N2C1)CCCN=C(N)N
Streptol,C1=C([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)CO
CID 5311005,CC1=C(C2=C(C=C1)C(=O)N3C=C(CC3C(N2)O)/C=C/C(=O)N)O
"(3E)-3-(3,4-dihydroxybenzylidene)-5-(3,4-dihydroxyphenyl)furan-2(3H)-one",C1=CC(=C(C=C1/C=C/2\\C=C(OC2=O)C3=CC(=C(C=C3)O)O)O)O
"9-hydroxy-10E,14Z-octadecadien-12-ynoic acid",CCC/C=C\\C#C/C=C/C(CCCCCCCC(=O)O)O
Cinnamyl alcohol,C1=CC=C(C=C1)/C=C/CO
"1,5,6,8-Tetrahydroxy-3-methyl-9,10-dioxo-9,10-dihydroanthracene-2-carboxylic acid",CC1=CC2=C(C(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O
Rulepidadiol,C[C@@H]1CC(=O)C=C2[C@]1([C@H]3[C@H](C3(C)C)[C@@H]([C@@H]2O)O)C
3-Nonen-2-one,CCCCC/C=C/C(=O)C
2-Hexen-1-OL,CCC/C=C/CO
Deoxyeritadenine,C1=NC(=C2C(=N1)N(C=N2)CCC(C(=O)O)O)N
Isocrotonylpterosin B,C/C=C\\C(=O)OCCC1=C(C2=C(CC(C2=O)C)C=C1C)C
"2,2-Dimethyl-2H-chromene-6-carboxylic acid",CC1(C=CC2=C(O1)C=CC(=C2)C(=O)O)C
"Methyl 3-(9H-pyrido(3,4-b)indol-1-yl)propanoate",COC(=O)CCC1=NC=CC2=C1NC3=CC=CC=C23
Rhapontigenin,COC1=C(C=C(C=C1)/C=C/C2=CC(=CC(=C2)O)O)O
Oviedomycin,CC1=C(C2=CC(=C3C(=C2C(=O)C1=O)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O
Graphislactone E,COC1=CC2=C(C(=C1)O)C(=O)OC3=C2C(=CC(=C3O)OC)O
Tricycloalternarene 3b,CC(CCC=C(C)C)C1=CCC2(C1CC3=C(O2)CCC(C3=O)O)C
Dichlorodiaportin,COC1=CC(=C2C(=C1)C=C(OC2=O)C[C@H](C(Cl)Cl)O)O
Mollenine A,CC(C)C[C@@H]1C(=O)N2[C@H](C[C@@]3([C@H]2NC4=CC=CC=C43)CC=C(C)C)C(=O)O1
ophiocerin A,C[C@@H]1C[C@H]([C@H](CO1)O)O
ophiocerin B,C[C@@H]1C[C@H]([C@@H](CO1)O)O
ophiocerin C,C[C@@H]1C[C@@H]([C@H](CO1)O)O
ophiocerin D,C/C=C\\C(=O)O[C@H]1[C@H](OC[C@@H]([C@H]1O)O)C
(-)-Orthosporin,C[C@H](CC1=CC2=CC(=CC(=C2C(=O)O1)O)O)O
Oosponol,C1=CC2=C(C(=C1)O)C(=O)OC=C2C(=O)CO
"(3R,8aR)-3-(2-methylsulfanylethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",CSCC[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N1
streptazone C,C/C=C/1\\C=CC2=C1C(=O)CCN2
(-)-Terpinen-4-ol,CC1=CC[C@](CC1)(C(C)C)O
brevicompanine C,CC(C)[C@@H]1C(=O)N2[C@@H](C[C@@]3([C@H]2NC4=CC=CC=C43)C(C)(C)C=C)C(=O)N1
Ophioceric acid,CC1=C2CC(C[C@H]3C[C@]3([C@@H]2CC1=O)C(=O)O)(C)C
Nostocarboline,C[N+]1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl
"(1S,2S,4S)-4-Isopropyl-1-methylcyclohexane-1,2,4-triol",CC(C)[C@@]1(CC[C@]([C@H](C1)O)(C)O)O
Roquefortine E,CC(C)(C=C)C1=C(N=CN1)/C=C/2\\C(=O)N3[C@@H](C[C@@]4([C@H]3NC5=CC=CC=C54)C(C)(C)C=C)C(=O)N2
"2,5-Furandione, 3,4-di-1H-indol-3-yl-",C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)OC3=O)C4=CNC5=CC=CC=C54
Erbstatin,C1=CC(=C(C=C1O)/C=C/NC=O)O
Streptimidone,C[C@@H](/C=C(\\C)/C=C)C(=O)C[C@@H](CC1CC(=O)NC(=O)C1)O
Neryl butyrate,CCCC(=O)OC/C=C(/C)\\CCC=C(C)C
cis-3-Hexenyl butyrate,CCCC(=O)OCC/C=C\\CC
beta-Ionone epoxide,CC(=O)/C=C/C12C(CCCC1(O2)C)(C)C
cis-3-Hexenyl hexanoate,CCCCCC(=O)OCC/C=C\\CC
"(1Z,5Z)-1,5-dimethyl-8-prop-1-en-2-ylcyclodeca-1,5-diene",C/C/1=C/CC/C(=C\\CC(CC1)C(=C)C)/C
psi-Tectorigenin,COC1=C(C=C(C2=C1OC=C(C2=O)C3=CC=C(C=C3)O)O)O
Pyrrolostatin,CC(=CCC/C(=C/CC1=CNC(=C1)C(=O)O)/C)C
"7,8-dihydroxy-1-methoxy-3-methyl-10-oxo-3,4-dihydro-1H-pyrano[4,3-b]chromene-9-carboxylic acid",CC1CC2=C(C(O1)OC)C(=O)C3=C(O2)C=C(C(=C3C(=O)O)O)O
"2,4,7-Undecatrienal nitrosohydrazone",CCC/C=C/C/C=C/C=C/C=N\\NN=O
Variotin,CCCCC(/C=C(\\C)/C=C/C=C/C(=O)N1CCCC1=O)O
Neryl formate,CC(=CCC/C(=C\\COC=O)/C)C
cis-3-Hexenoic acid,CC/C=C\\CC(=O)O
"1,2-Anthracenedicarboxylic acid, 7-acetyl-6-ethyl-9,10-dihydro-3,5,8-trihydroxy-9,10-dioxo-",CCC1=C(C(=C2C(=C1O)C(=O)C3=CC(=C(C(=C3C2=O)C(=O)O)C(=O)O)O)O)C(=O)C
Geranyl propionate,CCC(=O)OC/C=C(\\C)/CCC=C(C)C
Geranyl butyrate,CCCC(=O)OC/C=C(\\C)/CCC=C(C)C
Pyridindolol,C1=CC=C2C(=C1)C3=C(N2)C(=NC(=C3)CO)C(CO)O
"2-Chloro-3,6,8-trihydroxy-1-methyl-9H-xanthen-9-one",CC1=C(C(=CC2=C1C(=O)C3=C(C=C(C=C3O2)O)O)O)Cl
Reticulol,CC1=CC2=CC(=C(C(=C2C(=O)O1)O)OC)O
Alternariol,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)O)O)C(=O)O2)O
Alternariol monomethyl ether,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O
5-Methyl-2-hepten-4-one,CCC(C)C(=O)/C=C/C
Ethyl 3-hexenoate,CC/C=C/CC(=O)OCC
Ethyl (E)-3-hexenoate,CC/C=C\\CC(=O)OCC
cis-4-Heptenal,CC/C=C\\CCC=O
Geranyl isovalerate,CC(C)CC(=O)OC/C=C(\\C)/CCC=C(C)C
cis-3-Hexenyl acetate,CC/C=C\\CCOC(=O)C
"2,4,4-Trimethyl-3-(3-oxo-1-butenyl)cyclohex-2-en-1-one",CC1=C(C(CCC1=O)(C)C)/C=C/C(=O)C
4-Methyl-2-phenyl-2-pentenal,CC(C)/C=C(\\C=O)/C1=CC=CC=C1
cis-3-Hexenyl lactate,CC/C=C\\CCOC(=O)C(C)O
3-Hepten-2-one,CCC/C=C/C(=O)C
(Z)-2-Octen-1-ol,CCCCC/C=C\\CO
cis-3-Hexenyl propionate,CC/C=C\\CCOC(=O)CC
cis-3-Hexenyl 2-methylbutanoate,CC/C=C\\CCOC(=O)C(C)CC
Enteromycin,CO/[N+](=C/C(=O)N/C=C/C(=O)O)/[O-]
"4,8-Dimethyl-3,7-nonadien-2-ol",CC(/C=C(\\C)/CCC=C(C)C)O
2-Octen-4-one,CCCCC(=O)/C=C/C
2-Methyl-2-pentenoic acid,CC/C=C(\\C)/C(=O)O
Methyl geranate,CC(=CCC/C(=C/C(=O)OC)/C)C
Neryl propionate,CCC(=O)OC/C=C(/C)\\CCC=C(C)C
Neryl isobutyrate,CC(C)C(=O)OC/C=C(/C)\\CCC=C(C)C
Hexyl crotonate,CCCCCCOC(=O)/C=C/C
Damascenone,C/C=C/C(=O)C1=C(C=CCC1(C)C)C
Acetaldehyde ethyl cis-3-hexenyl acetal,CC/C=C\\CCOC(C)OCC
"1,3,6-Octatriene",C/C=C/C/C=C/C=C
"2-Methyl-2,4-hexadiene",C/C=C/C=C(C)C
cis-3-Hexenyl pentanoate,CCCCC(=O)OCC/C=C\\CC
"Methyl (2E)-4,4-dimethyl-2-pentenoate",CC(C)(C)/C=C/C(=O)OC
Cyclamidomycin,C1CC(=NC1)/C=C/C(=O)N
Recifeiolide,CC1C/C=C/CCCCCCC(=O)O1
5-Methyl-2-phenylhex-2-enal,CC(C)C/C=C(/C=O)\\C1=CC=CC=C1
3-(2-Hydroxyphenyl)acrylic acid methyl ester,COC(=O)/C=C/C1=CC=CC=C1O
"(E,Z)-2,6-Dimethylocta-2,4,6-triene",C/C=C(/C)\\C=C\\C=C(C)C
"1,9-Dioxacyclohexadeca-3,11-diene-2,5,10,13-tetraone, 8,16-dimethyl-",CC1OC(=O)/C=C/C(=O)CCC(OC(=O)/C=C/C(=O)CC1)C
Obscurolide A3,CC(/C=C/C1C(CC(=O)O1)NC2=CC=C(C=C2)CO)O
Noreugenin,CC1=CC(=O)C2=C(C=C(C=C2O1)O)O
"3-(9H-pyrido[3,4-b]indol-1-yl)propanoic acid",C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)CCC(=O)O
Sorbicillin,C/C=C/C=C/C(=O)C1=C(C(=C(C(=C1)C)O)C)O
Granulatin,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=C(C(=C3C)O)C(=O)OC)C)C=O)O
"2-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]-5-hydroxy-6,7,8-trimethoxy-3-methylchromen-4-one",CC1=C(OC2=C(C(=C(C(=C2C1=O)O)OC)OC)OC)/C=C/C3=CC(=CC(=C3)O)O
Radicinin,C/C=C/C1=CC2=C(C(=O)[C@H]([C@@H](O2)C)O)C(=O)O1
"2,4-Hexadienal, 2-((1R)-1-hydroxy-2-oxopropyl)-, (2E,4E)-",C/C=C/C=C(/C=O)\\[C@H](C(=O)C)O
Vinetorin,CC1=CC(=C(C2=C1C(=O)C3=C(C=C(C=C3O2)OC)O)Cl)O
Neihumycin,COC\\1=N/C(=C\\C2=CC=CC=C2)/C(=O)N/C1=C\\C3=CC=CC=C3
"2-Propenal, 3-(4-methoxy-5-methyl-2-oxo-2H-pyran-6-yl)-, (2E)-",CC1=C(OC(=O)C=C1OC)/C=C/C=O
Visoltricin,CC(=CCC1=C(N(C=N1)C)/C=C/C(=O)OC)C
"5,7-Dihydroxy-3',4'-dimethoxyisoflavone",COC1=C(C=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O)OC
"1H-2-Benzopyran-1-one, 8-hydroxy-6,7-dimethoxy-3-methyl-",CC1=CC2=CC(=C(C(=C2C(=O)O1)O)OC)OC
Cytochalasin e,C[C@H]1C/C=C/[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@]2(C(=O)N[C@H]4CC5=CC=CC=C5)OC(=O)O/C=C/[C@@](C1=O)(C)O)C)C
"3-Butenoic acid, 2-amino-4-(2-aminoethoxy)-, (3E)-",C(CO/C=C/C(C(=O)O)N)N
Punctatin B,C[C@@]\\1(CC[C@@]2([C@H](CC2(C)C)/C(=C\\C=C1)/CO)O)O
"(4R,6S)-4-bromo-10-chloro-5,5,9-trimethyl-1-methylidenespiro[5.5]undecan-9-ol",CC1([C@@H](CCC(=C)[C@@]12CCC(C(C2)Cl)(C)O)Br)C
Viridiol,C[C@]12[C@@H]([C@@H]([C@@H](C3=COC(=C31)C(=O)C4=C2C=CC5=C4CCC5=O)O)OC)O
(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate,C[C@H](CC(=O)O[C@H](C)CC(=O)O)O
L-(+)-Arabinose,C([C@@H]([C@@H]([C@H](C=O)O)O)O)O
4-Hydroxyphenylacetaldoxime,C1=CC(=CC=C1C/C=N/O)O
Carbon,[C]
Dimethyl 2-decenedioate,COC(=O)CCCCCC/C=C/C(=O)OC
"(Z)-4-phenylbut-3-ene-1,2,3-triol",C1=CC=C(C=C1)/C=C(/C(CO)O)\\O
Vermilutin,CC1=CC(=C2C(=C1)OC3=C(C=CC(=C3C2=O)O)/C=C/C(C)C)C=O
Vermistatin,C/C=C/C1=CC(=O)C(=CO1)[C@H]2C3=C(C=C(C=C3OC)OC)C(=O)O2
Obscurolide A2,CC(/C=C/C1C(CC(=O)O1)NC2=CC=C(C=C2)C=O)O
"Dicyclopenta(a,d)cyclooctene-3,4-diol, 1,2,3,3a,4,5,7,8,9,9a,10,10a-dodecahydro-1-(hydroxymethyl)-4,9a-dimethyl-7-(1-methylethyl)-",CC(C)C\\1CCC2(/C1=C\\CC(C3C(CC(C3C2)CO)O)(C)O)C
Arthropsolide A,C/C=C/[C@H]1C=CC(=O)[C@H]([C@]12[C@@H](C(=C)OC2=O)O)O
"[(8Z,10Z,12E)-7-hydroxy-6-methyl-2-(3-methyl-6-oxo-2,3-dihydropyran-2-yl)tetradeca-8,10,12-trien-5-yl] dihydrogen phosphate",C/C=C/C=C\\C=C/C(C(C)C(CCC(C)C1C(C=CC(=O)O1)C)OP(=O)(O)O)O
Cystothiazole A,C[C@H]([C@H](/C=C/C1=CSC(=N1)C2=CSC(=N2)C(C)C)OC)/C(=C\\C(=O)OC)/OC
Dipodazine,C1C(=O)N/C(=C\\C2=CNC3=CC=CC=C32)/C(=O)N1
Kendomycin,C[C@H]\\1CC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C3=C(C(=O)C(=C4C3=C[C@@](O4)([C@H](C[C@@H](C/C(=C1)/C)C)C)O)C)O)C)O)C
"(7R,8R)-Agi-B4",COC(=O)[C@H]1[C@@H](C=CC2=C1C(=O)C3=C(C=C(C=C3O2)CO)O)O
"(9E)-2,3,16-Trihydroxy-18-methoxy-12-methyl-6,13-dioxatricyclo[13.4.0.05,7]nonadeca-1(15),9,16,18-tetraene-8,14-dione",CC1C/C=C/C(=O)C2C(O2)CC(C(C3=C(C(=CC(=C3)OC)O)C(=O)O1)O)O
"12,13-Dihydro-3,9-dichloro-5H-Indolo[2,3-a]pyrrolo[3,4-c]carbazole-5,7(6H)-dione",C1=CC2=C(C=C1Cl)C3=C4C(=C5C6=C(C=CC(=C6)Cl)NC5=C3N2)C(=O)NC4=O
Ergometrinine,C[C@@H](CO)NC(=O)[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
"4,6-Dihydroxy-3a,12a-dihydro-5H-furo[3',2':4,5]furo[3,2-b]xanthen-5-one",C1=CC(=C2C(=C1)OC3=CC4=C(C5C=COC5O4)C(=C3C2=O)O)O
De-O-methyldihydrosterigmatocystin,C1COC2C1C3=C(O2)C=C(C4=C3OC5=CC=CC(=C5C4=O)O)O
Cytogenin,COC1=CC(=C2C(=C1)C=C(OC2=O)CO)O
Chloromonilicin,CC1=CC(=C2C(=C1)OC3=C(C2=O)C(OC(=O)C=C3Cl)C(=O)OC)O
Elsamicin B,C[C@@H]1[C@@H]([C@]([C@H](C(O1)OC2=CC=CC3=C2C4=C5C6=C(C=CC(=C6C(=O)O4)C)OC(=O)C5=C3O)O)(C)O)O
Murayalactone,CCCC(=O)C1=C(C(=C2C(=C1)C3=C(C(=CC=C3)O)OC2=O)O)C
5-Methoxydihydrosterigmatocystin,COC1=C2C(=C(C=C1)O)C(=O)C3=C(C=C4C(=C3O2)C5CCOC5O4)OC
Ericamycin,CC1=C(C2=C(C=C1)C(=O)C3=C(C2=O)C=C4[C@@H]([C@H](C5=C(C4=C3O)C(=C6C(=C5)C=C(NC6=O)C)O)O)OC)O
"6-Hydroxy-3-oxo-1,2-benzisoxazolin",C1=CC2=C(C=C1O)ONC2=O
Hydroxydihydrosterigmatocystin,COC1=C2C(=C3C4CC(OC4OC3=C1)O)OC5=CC=CC(=C5C2=O)O
1-Hydroxy-3-methylxanthen-9-one,CC1=CC(=C2C(=C1)OC3=CC=CC=C3C2=O)O
"methyl 8-hydroxy-6-(hydroxymethyl)-9-oxo-1aH-oxireno[2,3-a]xanthene-9b-carboxylate",COC(=O)C12C(O1)C=CC3=C2C(=O)C4=C(C=C(C=C4O3)CO)O
Fusidienol,COC(=O)C1=CC(=COC2=C1C(=O)C3=C(C=CC=C3O2)O)CO
Oryzoxymycin,C[C@H](C(=O)O)OC(=O)C1=CC=C[C@@H]([C@H]1N)O
"3',4',5,7-Tetrahydroxy-8-methoxyisoflavone",COC1=C(C=C(C2=C1OC=C(C2=O)C3=CC(=C(C=C3)O)O)O)O
2-(8-Hydroxy-6-methoxy-1-oxo-1H-isochromen-3-yl)propionic acid,CC(C1=CC2=CC(=CC(=C2C(=O)O1)O)OC)C(=O)O
"(5'R)-7-chloro-3',4,6-trimethoxy-5'-methylspiro[1-benzofuran-2,4'-cyclohex-2-ene]-1',3-dione",C[C@@H]1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC
"3',5,7-Trihydroxy-4',8-dimethoxyisoflavone",COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C(=CC(=C3OC)O)O)O
Fluostatin A,CC1=CC(=O)C2=C3C(=C(C=C2C1=O)O)C4=C(C3=O)C=CC=C4O
"8-Hydroxy-3,4-dimethyl-1H-2-benzopyran-1-one",CC1=C(OC(=O)C2=C1C=CC=C2O)C
Flavasperone,CC1=CC(=O)C2=C(O1)C3=C(C=C(C=C3C=C2O)OC)OC
Fomajorin S,CC1=C2C=COC(=O)C2=C(C3=C1CC(C3)(C)C(=O)O)O
"4,6-dimethoxy-3-[4-oxo-6-[(E)-prop-1-enyl]pyran-3-yl]-3H-isobenzofuran-1-one",C/C=C/C1=CC(=O)C(=CO1)C2C3=C(C=C(C=C3OC)OC)C(=O)O2
Fumaramidmycin,C1=CC=C(C=C1)CC(=O)NC(=O)/C=C/C(=O)N
Geranyl isobutyrate,CC(C)C(=O)OC/C=C(\\C)/CCC=C(C)C
Albonoursin,CC(C)/C=C\\1/C(=O)N/C(=C\\C2=CC=CC=C2)/C(=O)N1
3-[(E)-2-acetamidoethenyl]sulfanyl-7-oxo-6-(1-sulfooxyethyl)-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid,CC(C1C2CC(=C(N2C1=O)C(=O)O)S/C=C/NC(=O)C)OS(=O)(=O)O
"(E)-2-amino-3,4-dihydroxy-2-(hydroxymethyl)-14-oxo-icos-6-enoic acid",CCCCCCC(=O)CCCCCC/C=C/CC(C(C(CO)(C(=O)O)N)O)O
Cinnamaldehyde ethylene glycol acetal,C1COC(O1)/C=C/C2=CC=CC=C2
(E)-4-oxonon-2-enoic acid,CCCCCC(=O)/C=C/C(=O)O
"(Z)-1-bromo-5-(2,2-dimethyl-6-methylidenecyclohex-3-en-1-yl)-3-methylpent-3-en-2-ol",C/C(=C/CC1C(=C)CC=CC1(C)C)/C(CBr)O
Rulepidol,C[C@@H]1C[C@@H](CC2=CC(=O)[C@@H]3[C@H]([C@@]12C)C3(C)C)O
"(Z)-2-Decene-4,6,8-triyn-1-ol",CC#CC#CC#C/C=C/CO
"(1Z,4Z)-germacrene B",C/C/1=C/CC/C(=C\\CC(=C(C)C)CC1)/C
"7-(4-(Dimethylamino)phenyl)-N-hydroxy-4,6-dimethyl-7-oxohepta-2,4-dienamide",CC(/C=C(\\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C
"Butanoic acid, 2-amino-4-(hydroxyphosphinyl)-",C(C[P+](=O)O)C(C(=O)O)N
Macrolactin I,CC1CCC/C=C/C=C/C(CC(C/C=C/C=C/C(C/C=C/C=C\\C(=O)O1)O)O)O
Dykellic acid,C/C=C/C=C/C1C(=C)C=C(C(=O)O1)CCC(=O)O
Streptozotocin cofactor,C(=C/NC(=O)/C=N/O)\\C(=O)N
4-Carbamoyl-1-[(S)-4-amino-4-carboxybutyl]pyridazin-1-ium,C1=C[N+](=NC=C1C(=O)N)CCC[C@@H](C(=O)O)N
(E)-2-(4-Hydroxyphenyl)-2-oxoacetaldehyde oxime,C1=CC(=CC=C1C(=O)/C=N\\O)O
"(E)-4,8-Dimethyl-1,3,7-nonatriene",CC(=CCC/C(=C/C=C)/C)C
Methyl (+)-7-isojasmonate,CC/C=C\\C[C@H]1[C@H](CCC1=O)CC(=O)OC
"2-[(2R,5S)-5-ethenyl-5-methyloxolan-2-yl]propan-2-ol",C[C@]1(CC[C@@H](O1)C(C)(C)O)C=C
"2-Methoxy-3,5-dimethylpyrazine",CC1=CN=C(C(=N1)C)OC
"2-Furanmethanol, 5-ethenyltetrahydro-alpha,alpha,5-trimethyl-, (2R,5R)-rel-",C[C@@]1(CC[C@@H](O1)C(C)(C)O)C=C
"p-MENTH-8-EN-3-ONE, trans-",C[C@H]1CC[C@@H](C(=O)C1)C(=C)C
(+)-gamma-Cadinene,CC1=C[C@@H]2[C@@H](CC1)C(=C)CC[C@H]2C(C)C
"Naphthalene, 1,2,3,4,4a,5,6,8a-octahydro-4a,8-dimethyl-2-(1-methylethylidene)-, (4aR-trans)-",CC1=CCC[C@]2([C@H]1CC(=C(C)C)CC2)C
Diatretyne 2,C(=C/C(=O)O)\\C#CC#CC#N
Isojasmone,CC/C=C/CC1=C(C(=O)CC1)C
cis-3-Hexenyl cis-3-hexenoate,CC/C=C\\CCOC(=O)C/C=C\\CC
Citreoviridin,C[C@@H]1[C@]([C@H]([C@](O1)(C)/C=C(\\C)/C=C/C=C/C=C/C2=C(C(=CC(=O)O2)OC)C)O)(C)O
Mycolutein,CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2
Mycelianamide,C[C@H]1C(=O)N(/C(=C/C2=CC=C(C=C2)OC/C=C(\\C)/CCC=C(C)C)/C(=O)N1O)O
Appenolide A,CC1=C(COC1=O)/C=C/CCCCCC(=O)C
Appenolide B,CC1=C(COC1=O)/C=C/CCCCCC(C)O
"3,4,5-Trimethoxycinnamyl alcohol",COC1=CC(=CC(=C1OC)OC)/C=C/CO
"3,11-Dihydroxy-2,4,6,8,10,12-hexamethyl-9-oxo-6-tetradecenoic 1,3-lactone",CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O
Ebelactone B,CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C
Mucidin,C/C(=C/C=C/C1=CC=CC=C1)/C(=C\\OC)/C(=O)OC
Cyanobacterin,CC(C)[C@]\\1([C@H](C(=O)O/C1=C\\C2=CC=C(C=C2)OC)CC3=CC4=C(C(=C3)Cl)OCO4)O
Asteltoxin,CC[C@@H]1[C@]([C@]2([C@H]([C@H](O[C@H]2O1)/C=C/C=C/C=C/C3=C(C(=CC(=O)O3)OC)C)O)C)(C)O
"2-Ethyl-4-(2,2,3-trimethylcyclopent-3-en-1-yl)but-2-en-1-ol",CC/C(=C\\CC1CC=C(C1(C)C)C)/CO
